RFW-020-9302,-11900375,9304839,109762,-11906184,9364310,101704,
RFW-020-9312,-11912663,9303303,102957,-11907034,9364310,101704,
FLG-020-0101,-11900500,9317584,114125,-11898666,9317660,114269,
FLG-020-0174,-11898948,9314570,114269,-11902010,9314493,114125,
FLG-020-0175,-11898948,9316080,114269,-11900500,9316004,114125,
P-020-0250,-11891444,9280045,110544,-11893190,9313689,100688,
P-020-0252,-11891693,9280225,110544,-11893190,9312643,100688,
P-020-0312,-11900499,9315957,100557,-11893655,9292488,100557,
FLG-020-0189,-11898976,9317238,114230,-11900500,9317181,114116,
P-020-2038,-11895339,9345429,113995,-11887493,9346377,103961,
P-020-2354,-11895366,9345979,114100,-11895814,9345979,111943,
P-020-2408,-11895366,9346504,114100,-11895814,9346504,111943,
P-020-2410,-11895366,9347029,114100,-11895814,9347029,111943,
P-020-2412,-11895366,9347554,114100,-11895814,9347554,111943,
P-020-2414,-11895366,9348275,114100,-11895814,9348275,111943,
P-020-2416,-11895366,9348800,114100,-11895814,9348800,111943,
P-020-2418,-11895366,9349325,114100,-11895814,9349325,111943,
P-020-2420,-11895366,9349900,114100,-11895814,9349388,111880,
P-020-2421,-11895814,9349388,111880,-11895310,9344690,111874,
P-020-4038,-11906506,9346377,103961,-11898658,9345429,113995,
P-020-4354,-11898184,9349388,111880,-11898630,9349900,114100,
P-020-4408,-11898630,9349325,114100,-11898184,9349325,111943,
P-020-4410,-11898630,9348800,114100,-11898184,9348800,111943,
P-020-4412,-11898631,9348275,114100,-11898184,9348275,111943,
P-020-4414,-11898630,9347554,114100,-11898184,9347554,111943,
P-020-4416,-11898630,9347029,114100,-11898184,9347029,111943,
P-020-4418,-11898630,9346504,114100,-11898184,9346504,111943,
P-020-4420,-11898630,9345979,114100,-11898184,9345979,111943,
P-020-4421,-11898184,9349388,111880,-11898687,9344690,111874,
WO-020-0268,-11897435,9311118,113100,-11900573,9311870,100100,
WO-020-0404,-11898842,9309164,113110,-11898842,9309164,113189,
P-020-0467,-11899708,9317043,114230,-11898974,9317238,114230,
P-020-2353,-11882264,9349850,104955,-11895224,9345979,113993,
P-020-2407,-11882514,9349850,104955,-11895224,9346504,113993,
P-020-2409,-11882764,9349850,104955,-11895224,9347029,113993,
P-020-2411,-11883014,9349850,104955,-11895224,9347554,113993,
P-020-2413,-11883264,9349850,104955,-11895224,9348275,113993,
P-020-2415,-11883514,9349850,104955,-11895224,9348800,113993,
P-020-2417,-11883764,9349850,104955,-11895224,9349325,113993,
P-020-2419,-11884014,9349850,104955,-11895224,9349900,113993,
P-020-4353,-11909984,9349850,104955,-11898774,9349900,113993,
P-020-4407,-11910234,9349850,104955,-11898774,9349325,113993,
P-020-4409,-11910484,9349850,104955,-11898774,9348800,113993,
P-020-4411,-11910734,9349850,104955,-11898775,9348275,113993,
P-020-4413,-11910984,9349850,104955,-11898774,9347554,113993,
P-020-4415,-11911234,9349850,104955,-11898774,9347029,113993,
P-020-4417,-11911484,9349850,104955,-11898774,9346504,113993,
P-020-4419,-11911734,9349850,104955,-11898774,9345979,113993,
P-020-2020,-11906498,9287950,102000,-11899160,9292729,105968,
P-020-4020,-11906498,9289900,102000,-11899350,9291359,105968,
WO-020-0403,-11898842,9309164,113215,-11899025,9309187,113338,
